goos: linux
goarch: amd64
pkg: github.com/scionproto/scion/go/border/qos/queues
BenchmarkClassification2/Regular-1-10-2-1-8         	 2508525	       479 ns/op	      64 B/op	       2 allocs/op
BenchmarkClassification2/Regular-1-10-2-10-8        	  235297	      5050 ns/op	     640 B/op	      20 allocs/op
BenchmarkClassification2/Regular-1-10-2-100-8       	   23342	     51275 ns/op	    6400 B/op	     200 allocs/op
BenchmarkClassification2/Regular-1-10-2-1000-8      	    2365	    490229 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkClassification2/Regular-1-10-10-1-8        	 2448108	       488 ns/op	      64 B/op	       2 allocs/op
BenchmarkClassification2/Regular-1-10-10-10-8       	  230844	      5184 ns/op	     640 B/op	      20 allocs/op
BenchmarkClassification2/Regular-1-10-10-100-8      	   23296	     51154 ns/op	    6400 B/op	     200 allocs/op
BenchmarkClassification2/Regular-1-10-10-1000-8     	    2407	    482938 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkClassification2/Regular-1-10-100-1-8       	 2427462	       498 ns/op	      64 B/op	       2 allocs/op
BenchmarkClassification2/Regular-1-10-100-10-8      	  233482	      5119 ns/op	     640 B/op	      20 allocs/op
BenchmarkClassification2/Regular-1-10-100-100-8     	   23940	     50307 ns/op	    6400 B/op	     200 allocs/op
BenchmarkClassification2/Regular-1-10-100-1000-8    	    2422	    490559 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkClassification2/Regular-1-10-255-1-8       	 2448954	       489 ns/op	      64 B/op	       2 allocs/op
BenchmarkClassification2/Regular-1-10-255-10-8      	  229436	      5033 ns/op	     640 B/op	      20 allocs/op
BenchmarkClassification2/Regular-1-10-255-100-8     	   23486	     50765 ns/op	    6400 B/op	     200 allocs/op
BenchmarkClassification2/Regular-1-10-255-1000-8    	    2410	    507066 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkClassification2/Regular-1-10-400-1-8       	 2524486	       479 ns/op	      64 B/op	       2 allocs/op
BenchmarkClassification2/Regular-1-10-400-10-8      	  230046	      5014 ns/op	     640 B/op	      20 allocs/op
BenchmarkClassification2/Regular-1-10-400-100-8     	   24054	     49847 ns/op	    6400 B/op	     200 allocs/op
BenchmarkClassification2/Regular-1-10-400-1000-8    	    2404	    491252 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkClassification2/Regular-10-10-2-1-8        	 2374899	       506 ns/op	      64 B/op	       2 allocs/op
BenchmarkClassification2/Regular-10-10-2-10-8       	  226130	      5263 ns/op	     640 B/op	      20 allocs/op
BenchmarkClassification2/Regular-10-10-2-100-8      	   22788	     52496 ns/op	    6400 B/op	     200 allocs/op
BenchmarkClassification2/Regular-10-10-2-1000-8     	    2287	    526394 ns/op	   64000 B/op	    2000 allocs/op
