go test -benchmem -run=xxx -bench=BenchmarkQueueSinglePacketBlockingDiffNo -timeout 60m
goos: linux
goarch: amd64
pkg: github.com/scionproto/scion/go/border/qos
BenchmarkQueueSinglePacketBlockingDiffNo/Len0-8         	1000000000	         0.800 ns/op       0 B/op	       0 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len1-8         	 1000000	     16134 ns/op	      48 B/op	       1 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len2-8         	   35976	     36219 ns/op	      96 B/op	       2 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len3-8         	   23175	     54191 ns/op	     144 B/op	       3 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len4-8         	   16963	     72042 ns/op	     192 B/op	       4 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len5-8         	   13453	     89416 ns/op	     240 B/op	       5 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len6-8         	   10000	    106411 ns/op	     288 B/op	       6 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len7-8         	   10045	    126182 ns/op	     337 B/op	       7 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len8-8         	   10000	    142375 ns/op	     384 B/op	       8 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len9-8         	    7488	    159126 ns/op	     432 B/op	       9 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len10-8        	    6776	    176585 ns/op	     481 B/op	      10 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len11-8        	    6202	    197628 ns/op	     530 B/op	      11 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len12-8        	   10000	    215351 ns/op	     577 B/op	      12 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len13-8        	    5277	    232191 ns/op	     625 B/op	      13 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len14-8        	    4796	    249342 ns/op	     673 B/op	      14 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len15-8        	    4522	    269088 ns/op	     721 B/op	      15 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len16-8        	    4306	    289988 ns/op	     769 B/op	      16 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len17-8        	    3567	    300681 ns/op	     820 B/op	      17 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len18-8        	    3759	    322497 ns/op	     865 B/op	      18 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len19-8        	    3648	    334398 ns/op	     914 B/op	      19 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len20-8        	    3548	    359255 ns/op	     962 B/op	      20 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len21-8        	    3739	    371987 ns/op	    1011 B/op	      21 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len22-8        	    3499	    389174 ns/op	    1058 B/op	      22 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len23-8        	    2995	    410684 ns/op	    1106 B/op	      23 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len24-8        	    3489	    426468 ns/op	    1156 B/op	      24 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len25-8        	    2762	    445915 ns/op	    1204 B/op	      25 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len26-8        	    2588	    462969 ns/op	    1250 B/op	      26 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len27-8        	    3402	    483884 ns/op	    1298 B/op	      27 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len28-8        	    2383	    491772 ns/op	    1349 B/op	      28 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len29-8        	    2338	    519544 ns/op	    1394 B/op	      29 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len30-8        	    2274	    534687 ns/op	    1443 B/op	      30 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len31-8        	    3604	    557269 ns/op	    1491 B/op	      31 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len32-8        	    1827	    559186 ns/op	    1539 B/op	      32 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len33-8        	    1862	    596419 ns/op	    1588 B/op	      33 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len34-8        	    3516	    615260 ns/op	    1636 B/op	      34 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len35-8        	    3313	    626988 ns/op	    1684 B/op	      35 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len36-8        	    1860	    640754 ns/op	    1731 B/op	      36 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len37-8        	    1736	    655944 ns/op	    1780 B/op	      37 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len38-8        	    1815	    676103 ns/op	    1827 B/op	      38 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len39-8        	    1767	    702673 ns/op	    1880 B/op	      39 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len40-8        	    1791	    703454 ns/op	    1923 B/op	      40 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len41-8        	    3800	    738392 ns/op	    1973 B/op	      41 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len42-8        	    1804	    754598 ns/op	    2019 B/op	      42 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len43-8        	    1782	    765044 ns/op	    2071 B/op	      43 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len44-8        	    1825	    794076 ns/op	    2115 B/op	      44 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len45-8        	    1810	    801924 ns/op	    2167 B/op	      45 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len46-8        	    1502	    822339 ns/op	    2212 B/op	      46 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len47-8        	    1231	    827701 ns/op	    2261 B/op	      47 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len48-8        	    1210	    850701 ns/op	    2309 B/op	      48 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len49-8        	    1762	    872877 ns/op	    2359 B/op	      49 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len50-8        	    3900	    897769 ns/op	    2405 B/op	      50 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len51-8        	    1801	    916996 ns/op	    2455 B/op	      51 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len52-8        	    1190	    913889 ns/op	    2501 B/op	      52 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len53-8        	    1240	    939231 ns/op	    2549 B/op	      53 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len54-8        	    1220	    982075 ns/op	    2603 B/op	      54 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len55-8        	    1272	    978831 ns/op	    2645 B/op	      55 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len56-8        	    1212	    986039 ns/op	    2693 B/op	      56 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len57-8        	    1200	   1006575 ns/op	    2741 B/op	      57 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len58-8        	    1340	   1017335 ns/op	    2789 B/op	      58 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len59-8        	    1239	   1059556 ns/op	    2837 B/op	      59 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len60-8        	    1213	   1077263 ns/op	    2891 B/op	      60 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len61-8        	    1233	   1107368 ns/op	    2933 B/op	      61 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len62-8        	    1222	   1095817 ns/op	    2987 B/op	      62 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len63-8        	     927	   1117517 ns/op	    3031 B/op	      63 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len64-8        	    1230	   1148397 ns/op	    3077 B/op	      64 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len65-8        	     926	   1146264 ns/op	    3127 B/op	      65 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len66-8        	    1209	   1192450 ns/op	    3178 B/op	      66 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len67-8        	    1221	   1206037 ns/op	    3221 B/op	      67 allocs/op
