BenchmarkTake/1-8 	25193398	        49.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkTake/10-8         	24367609	        53.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkTake/100-8        	25268073	        47.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkTake/100#01-8     	25404174	        47.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkTake/10000-8      	25718500	        46.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkTake/1-8 	24031786	        47.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkTake/10-8         	25101054	        47.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkTake/100-8        	24047095	        46.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkTake/100#01-8     	25492262	        46.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkTake/10000-8      	24673644	        47.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkTake/1-8 	24567568	        47.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkTake/10-8         	25642150	        47.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkTake/100-8        	24271179	        46.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkTake/100#01-8     	25613419	        46.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkTake/10000-8      	25498393	        46.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkTake/1-8 	24352274	        47.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkTake/10-8         	25228123	        47.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkTake/100-8        	24910532	        48.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkTake/100#01-8     	24751347	        46.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkTake/10000-8      	24631951	        49.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkTake/1-8 	24522398	        47.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkTake/10-8         	25141420	        47.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkTake/100-8        	25686085	        46.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkTake/100#01-8     	24325455	        46.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkTake/10000-8      	25677753	        47.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkTake/1-8 	24391777	        49.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkTake/10-8         	25723281	        46.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkTake/100-8        	24645130	        46.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkTake/100#01-8     	24387895	        48.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkTake/10000-8      	25568300	        47.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkTake/1-8 	24933950	        47.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkTake/10-8         	25417594	        47.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkTake/100-8        	24665012	        46.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkTake/100#01-8     	25516521	        48.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkTake/10000-8      	25619857	        46.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkTake/1-8 	24310375	        47.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkTake/10-8         	25410499	        48.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkTake/100-8        	25720916	        46.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkTake/100#01-8     	25328814	        47.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkTake/10000-8      	24649213	        46.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkTake/1-8 	23200016	        47.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkTake/10-8         	24786722	        47.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkTake/100-8        	25516348	        47.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkTake/100#01-8     	25398336	        47.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkTake/10000-8      	25576575	        46.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkTake/1-8 	24981079	        47.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkTake/10-8         	25521639	        47.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkTake/100-8        	25627443	        46.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkTake/100#01-8     	24692372	        46.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkTake/10000-8      	25656465	        47.0 ns/op	       0 B/op	       0 allocs/op
