Using path:
  Hops: [1-ff00:0:130 1004>2 1-ff00:0:110] MTU: 1472, NextHop: [fd00:f00d:cafe::7f00:29]:31118
120 bytes from 1-ff00:0:110,[::] scmp_seq=0 time=,1.732ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=1 time=,16.225ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=2 time=,15.419ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=3 time=,18.204ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=4 time=,6.493ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=5 time=,4.157ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=6 time=,3.351ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=7 time=,1.028ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=8 time=,722µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=9 time=,706µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=10 time=,810µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=11 time=,820µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=12 time=,699µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=13 time=,615µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=14 time=,549µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=15 time=,8.947ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=16 time=,7.997ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=17 time=,7.001ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=18 time=,6.03ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=19 time=,5.047ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=20 time=,4.113ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=21 time=,3.079ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=22 time=,2.03ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=23 time=,1.17ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=24 time=,642µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=25 time=,631µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=26 time=,681µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=27 time=,658µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=28 time=,666µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=29 time=,647µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=30 time=,8.049ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=31 time=,7.145ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=32 time=,6.147ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=33 time=,5.11ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=34 time=,4.192ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=35 time=,3.195ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=36 time=,2.204ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=37 time=,1.163ms
120 bytes from 1-ff00:0:110,[::] scmp_seq=38 time=,662µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=39 time=,748µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=40 time=,754µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=41 time=,561µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=42 time=,572µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=43 time=,809µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=44 time=,699µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=45 time=,653µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=46 time=,681µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=47 time=,601µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=48 time=,781µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=49 time=,811µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=50 time=,801µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=51 time=,784µs
